title	description	location_name	city	type	organizer	start_date	end_date	start_time	end_time	postcode	lat	long	validated	visible	Types d'évenements autorisés:
Journée d'ouverture	Ouverture du Festival Sortons l'Agriculture du Salon à la Cité Fertile	La Cité Fertile	Pantin	Autre	Sortons l'Agriculture du Salon	22/02/2020 11h - 20h 				93500	48.898981	2.399024	OK	1	Atelier
Les OGM d'hier et d'aujourd'hui	       Conférence avec Annie Bossu 	Médiathèque du Bachut	Lyon	Débat	Médiathèque de Bachut	22/02/2020 15h30 - 17h				69008	45.73722	4.867986	OK	1	Débat
ConfKids : les enfants, citoyens de demain	Une ConfKids sur le thème de l'alimentation et de l'agriculture organisée auprès des enfants de la mairie du 10ème	Maison du Crowdfunding	Paris	Débat	KissKissBankBank	24/02/2020 9h - 12h				75010	48.875382	2.351337	OK	1	Exposition
Tous à Poêle : à table, citoyens ! 	On cuisine et on mange tous ensemble dans les locaux de la Ruche qui dit Oui ! avec un/une chef ! 	La Ruche qui dit Oui, 2 rue de la roquette, passage du cheval blanc, 75011 Paris 	Paris 	Repas	La Ruche qui dit Oui!	24/02/2020 18h30 - 22h30 				75011	48.853339	2.370505	OK	1	Projection
Conférence : Guérir la terre, Nourrir les hommes	Une conférence avec Perrine Hervé-Gruyer, pionnière de la permaculture, pour parler de la Ferme du Bel Hellouin, devenue une référence mondiale en matière d'agriculture naturelle	Théâtre Marigny	Paris	Rencontre	Alimentation Générale	24/02/2020 19h30				75008	48.868723	2.313786	OK	1	Rencontre
KissKissDating spécial agriculture et alimentation	Un Kisskissdating formation au financement participatif spécial alimentation avec des retours d'expérience de porteurs de projet ayant utilisé le financement participatif comme solution et booster dans leurs projets.	La Maison du Crowdfunding, 34 rue du paradis, 75 010, Paris 	Paris	Rencontre	KissKissBankBank	25/02/2020 9h - 12h				75010	48.875582	2.351437	OK	superposé	Repas
Les citoyens passent à table chez KissKissBankBank	Ateliers de cuisine avec le Bouillant 	La Maison du Crowdfunding, 34 rue du paradis, 75 010, Paris 	Paris 	Atelier	KissKissBankBank	05/02/2020 14h30 - 17h				75001	48.875782	2.351237	OK	superposé	Autre
Atelier Guerilla Green avec Ta Mère Nature	Un atelier do-it-your-self avec Ta Mère Nature pour apprendre à faire sa révolution green !    Ophélie, trentenaire et citadine, compte bien reverdire sa ville plutôt que de la quitter, à travers cet atelier, elle donne les clés pour mettre en pratique la devise des guerilleros : Plantez… PARTOUT !  Prix : 12 euros par personne. Places limitées à 15 personnes. 	La Ruche qui dit Oui, 2 rue de la roquette, passage du cheval blanc, 75011 Paris 	Paris	Atelier	La Ruche qui dit Oui!	25/02/2020 18h30 - 20h30 				75011	48.853539	2.370505	OK	superposé	
Projection du film "Faut-il arrêter de manger les animaux ?"		Le Nouvel Odéon, 6 rue de l'école de médecine, 75006 Paris 	Paris 	Projection	Alimentation Générale	25/02/2020 18h				75006	48.850715	2.341892	OK	1	
Discussion : un autre modèle agricole	Circuits courts, développement d’une agriculture alternative, biologique. Quel modèle agricole souhaitons-nous ? Avec Jocelyne Porcher, Stéphanie Maubé, Cédric Béchade ou César Troisgros Animation du débat : Jennifer Gallé de TheConversation à l’occasion de la sortie du livre « Il était une bergère » édition Rouergue 	Le Nouvel Odéon, 6 rue de l'école de médecine, 75006 Paris 	Paris 	Débat	Alimentation Générale	25/02/2020 19h30 				75006	48.850715	2.341892	OK	superposé	
UpCafé : Alimentation et Emotions		La Maison du Crowd Funding, 34 rue du paradis, 75010, Paris 	Paris	Atelier	KissKissBankBank	26/02/2010 9h - 12h				75010	48.875982	2.351437	OK	superposé	
Projection du Film Tante Hilda	Tante Hilda, amoureuse de la nature, conserve dans son musée végétal des milliers de plantes du monde entier. Beaucoup sont en voie de disparition.	Le Nouvel Odéon, 6 rue de l'école de médecine, 75006 Paris 	Paris	Projection	Alimentation Générale	26/02/2020 16h				75006	48.850715	2.341892	OK	superposé	
Projection et débat du film Juste devant nous	Diffusion du film Juste devant nous (1 ou 2 épisodes) afin de parler de l'importance du sol et du vivant. Rencontre avec la réalisatrice pour échanger sur son projet et sur ce qu'elle a appris.	Le Nouvel Odéon, 6 rue de l'école de médecine, 75006 Paris 	Paris	Débat	Alimentation Générale	26/02/2020 18h				75006	48.850715	2.341892	OK	superposé	
Atelier JAJA avec la Ruche qui dit Oui ! 	Comment devenir un expert du vin naturel ? On vous donne toutes les clefs ! 	La Ruche qui dit Oui, 2 rue de la roquette, passage du cheval blanc, 75011 Paris 	Paris	Atelier	La Ruche qui dit Oui ! 	27/02/2020 18h30 à 21h 				75011	48.853339	2.370505	OK	superposé	
Atelier Agroécologie Késako !? 	L'association "Pour une Agriculture du Vivant" vous propose un atelier autour de l'agroécologie et de la permaculture, pour tout savoir de ces modes de production plus vertueux. 	La Maison du Crowd Funding, 34 rue du paradis, 75010, Paris 	Paris	Atelier	KissKissBankBank	28/02/2020  14h - 17h30				75010	48.876182	2.351237	OK	superposé	
Projection du film "Tout est possible"	Projection du film "Tout est possible", réalisé par John Chester	Cinéma Le Louxor, 170 boulevard Magenta, 75010, Paris	Paris	Projection	Alimentation Générale	28/02/2020 18h				75010	48.883557	2.349858	OK	1	
Rencontre avec des agriculteurs	Rencontre avec Jean-Baptiste Anfonso, agriculteur en permaculture, artiste du végétal et Jean-Martin Fortier, jardinier-maraîcher	Cinéma Le Louxor, 170 boulevard Magenta, 75010, Paris	Paris	Rencontre	Alimentation Générale	28/02/2020 19h30				75010	48.883557	2.349858	OK	s	
